time,station_id,part_id,activity,
2023-01-30T19:18:32Z,S1,P1032,EXIT,
2023-01-30T19:18:32Z,S1,P1033,ENTER,
2023-01-30T19:18:37Z,S4,P1027,EXIT,
2023-01-30T19:18:37Z,S4,P1030,ENTER,
2023-01-30T19:18:45Z,S2,P1032,ENTER,
2023-01-30T19:19:02Z,S3,P1029,EXIT,
2023-01-30T19:19:06Z,S1,P1033,EXIT,
2023-01-30T19:19:06Z,S1,P1034,ENTER,
2023-01-30T19:19:12Z,S2,P1031,EXIT,
2023-01-30T19:19:18Z,S3,P1031,ENTER,
2023-01-30T19:19:19Z,S2,P1033,ENTER,
2023-01-30T19:19:46Z,S1,P1034,EXIT,
2023-01-30T19:20:37Z,S4,P1030,EXIT,
2023-01-30T19:20:37Z,S1,P1035,ENTER,
2023-01-30T19:20:37Z,S4,P1029,ENTER,
2023-01-30T19:20:50Z,S3,P1031,EXIT,
2023-01-30T19:20:56Z,S2,P1033,EXIT,
2023-01-30T19:20:56Z,S2,P1034,ENTER,
2023-01-30T19:21:02Z,S3,P1033,ENTER,
2023-01-30T19:21:49Z,S1,P1035,EXIT,
2023-01-30T19:22:06Z,S2,P1032,EXIT,
2023-01-30T19:22:06Z,S2,P1035,ENTER,
2023-01-30T19:22:21Z,S3,P1033,EXIT,
2023-01-30T19:22:21Z,S3,P1032,ENTER,
2023-01-30T19:23:23Z,S4,P1029,EXIT,
2023-01-30T19:23:23Z,S1,P1036,ENTER,
2023-01-30T19:23:23Z,S4,P1031,ENTER,
2023-01-30T19:23:36Z,S2,P1035,EXIT,
2023-01-30T19:23:45Z,S2,P1034,EXIT,
2023-01-30T19:24:22Z,S1,P1036,EXIT,
2023-01-30T19:24:34Z,S2,P1036,ENTER,
2023-01-30T19:24:58Z,S3,P1032,EXIT,
2023-01-30T19:24:58Z,S3,P1035,ENTER,
2023-01-30T19:25:14Z,S4,P1031,EXIT,
2023-01-30T19:25:14Z,S1,P1037,ENTER,
2023-01-30T19:25:14Z,S4,P1033,ENTER,
2023-01-30T19:25:21Z,S2,P1036,EXIT,
2023-01-30T19:26:11Z,S3,P1035,EXIT,
2023-01-30T19:26:11Z,S3,P1034,ENTER,
2023-01-30T19:26:13Z,S1,P1037,EXIT,
2023-01-30T19:26:23Z,S2,P1037,ENTER,
2023-01-30T19:27:09Z,S3,P1034,EXIT,
2023-01-30T19:27:09Z,S3,P1036,ENTER,
2023-01-30T19:27:49Z,S2,P1037,EXIT,
2023-01-30T19:28:34Z,S4,P1033,EXIT,
2023-01-30T19:28:34Z,S1,P1038,ENTER,
2023-01-30T19:28:34Z,S4,P1032,ENTER,
2023-01-30T19:29:33Z,S3,P1036,EXIT,
2023-01-30T19:29:33Z,S3,P1037,ENTER,
2023-01-30T19:29:39Z,S1,P1038,EXIT,
2023-01-30T19:29:52Z,S2,P1038,ENTER,
2023-01-30T19:30:12Z,S4,P1032,EXIT,
2023-01-30T19:30:12Z,S1,P1039,ENTER,
2023-01-30T19:30:12Z,S4,P1035,ENTER,
2023-01-30T19:30:26Z,S3,P1037,EXIT,
2023-01-30T19:31:09Z,S1,P1039,EXIT,
2023-01-30T19:31:19Z,S2,P1039,ENTER,
2023-01-30T19:32:03Z,S4,P1035,EXIT,
2023-01-30T19:32:03Z,S1,P1040,ENTER,
2023-01-30T19:32:03Z,S4,P1034,ENTER,
2023-01-30T19:32:49Z,S1,P1040,EXIT,
2023-01-30T19:33:11Z,S2,P1038,EXIT,
2023-01-30T19:33:11Z,S2,P1040,ENTER,
2023-01-30T19:33:17Z,S3,P1038,ENTER,
2023-01-30T19:33:56Z,S4,P1034,EXIT,
2023-01-30T19:33:56Z,S1,P1041,ENTER,
2023-01-30T19:33:56Z,S4,P1036,ENTER,
2023-01-30T19:34:05Z,S2,P1039,EXIT,
2023-01-30T19:34:25Z,S3,P1038,EXIT,
2023-01-30T19:34:25Z,S3,P1039,ENTER,
2023-01-30T19:35:28Z,S1,P1041,EXIT,
2023-01-30T19:35:40Z,S2,P1041,ENTER,
2023-01-30T19:35:54Z,S3,P1039,EXIT,
2023-01-30T19:35:56Z,S4,P1036,EXIT,
2023-01-30T19:35:56Z,S1,P1042,ENTER,
2023-01-30T19:35:56Z,S4,P1037,ENTER,
2023-01-30T19:36:30Z,S1,P1042,EXIT,
2023-01-30T19:36:34Z,S2,P1041,EXIT,
2023-01-30T19:36:34Z,S2,P1040,EXIT,
2023-01-30T19:36:39Z,S2,P1042,ENTER,
2023-01-30T19:36:45Z,S3,P1040,ENTER,
2023-01-30T19:36:52Z,S4,P1037,EXIT,
2023-01-30T19:36:52Z,S1,P1043,ENTER,
2023-01-30T19:36:52Z,S4,P1038,ENTER,
2023-01-30T19:37:18Z,S1,P1043,EXIT,
2023-01-30T19:37:28Z,S2,P1043,ENTER,
2023-01-30T19:37:31Z,S3,P1040,EXIT,
2023-01-30T19:37:31Z,S3,P1041,ENTER,
2023-01-30T19:38:35Z,S3,P1041,EXIT,
2023-01-30T19:38:44Z,S4,P1038,EXIT,
2023-01-30T19:38:44Z,S1,P1044,ENTER,
2023-01-30T19:38:44Z,S4,P1039,ENTER,
2023-01-30T19:39:13Z,S2,P1043,EXIT,
2023-01-30T19:39:18Z,S3,P1043,ENTER,
2023-01-30T19:39:44Z,S1,P1044,EXIT,
2023-01-30T19:39:56Z,S2,P1044,ENTER,
2023-01-30T19:40:49Z,S2,P1042,EXIT,
2023-01-30T19:40:51Z,S4,P1039,EXIT,
