time,station_id,part_id,activity,
2023-01-29T13:09:28Z,S1,P24,ENTER,
2023-01-29T13:09:28Z,S4,P17,ENTER,
2023-01-29T13:10:24Z,S4,P17,EXIT,
2023-01-29T13:10:24Z,S1,P25,ENTER,
2023-01-29T13:10:24Z,S4,P16,ENTER,
2023-01-29T13:11:03Z,S1,P24,EXIT,
2023-01-29T13:11:29Z,S2,P20,EXIT,
2023-01-29T13:11:29Z,S2,P21,ENTER,
2023-01-29T13:11:56Z,S4,P16,EXIT,
2023-01-29T13:11:56Z,S1,P26,ENTER,
2023-01-29T13:11:56Z,S4,P19,ENTER,
2023-01-29T13:12:18Z,S4,P19,EXIT,
2023-01-29T13:12:18Z,S4,P18,ENTER,
2023-01-29T13:12:20Z,S1,P25,EXIT,
2023-01-29T13:12:20Z,S1,P27,ENTER,
2023-01-29T13:12:31Z,S3,P25,ENTER,
2023-01-29T13:12:48Z,S4,P18,EXIT,
2023-01-29T13:12:48Z,S4,P20,ENTER,
2023-01-29T13:13:10Z,S4,P20,EXIT,
2023-01-29T13:13:41Z,S2,P21,EXIT,
2023-01-29T13:13:41Z,S2,P22,ENTER,
2023-01-29T13:13:44Z,S1,P26,EXIT,
2023-01-29T13:13:44Z,S1,P28,ENTER,
2023-01-29T13:13:51Z,S4,P21,ENTER,
2023-01-29T13:14:01Z,S3,P25,EXIT,
2023-01-29T13:14:01Z,S3,P26,ENTER,
2023-01-29T13:14:25Z,S1,P27,EXIT,
2023-01-29T13:14:25Z,S1,P29,ENTER,
2023-01-29T13:14:45Z,S1,P28,EXIT,
2023-01-29T13:14:49Z,S3,P26,EXIT,
2023-01-29T13:14:55Z,S3,P28,ENTER,
2023-01-29T13:15:29Z,S1,P29,EXIT,
2023-01-29T13:15:58Z,S4,P21,EXIT,
2023-01-29T13:15:58Z,S1,P30,ENTER,
2023-01-29T13:15:58Z,S4,P25,ENTER,
2023-01-29T13:16:12Z,S2,P22,EXIT,
2023-01-29T13:16:12Z,S2,P23,ENTER,
2023-01-29T13:16:33Z,S1,P30,EXIT,
2023-01-29T13:17:46Z,S3,P28,EXIT,
2023-01-29T13:17:46Z,S3,P29,ENTER,
2023-01-29T13:18:05Z,S4,P25,EXIT,
2023-01-29T13:18:05Z,S1,P31,ENTER,
2023-01-29T13:18:05Z,S4,P26,ENTER,
2023-01-29T13:18:39Z,S2,P23,EXIT,
2023-01-29T13:18:39Z,S2,P24,ENTER,
2023-01-29T13:18:53Z,S4,P26,EXIT,
2023-01-29T13:18:53Z,S1,P32,ENTER,
2023-01-29T13:18:53Z,S4,P22,ENTER,
2023-01-29T13:18:58Z,S1,P31,EXIT,
2023-01-29T13:20:08Z,S1,P32,EXIT,
2023-01-29T13:20:09Z,S4,P22,EXIT,
2023-01-29T13:20:09Z,S1,P33,ENTER,
2023-01-29T13:20:09Z,S4,P28,ENTER,
2023-01-29T13:20:09Z,S3,P29,EXIT,
2023-01-29T13:20:09Z,S3,P30,ENTER,
2023-01-29T13:21:38Z,S4,P28,EXIT,
2023-01-29T13:21:38Z,S1,P34,ENTER,
2023-01-29T13:21:38Z,S4,P23,ENTER,
2023-01-29T13:21:57Z,S3,P30,EXIT,
2023-01-29T13:22:18Z,S1,P33,EXIT,
2023-01-29T13:22:25Z,S3,P33,ENTER,
2023-01-29T13:23:10Z,S1,P34,EXIT,
2023-01-29T13:23:12Z,S4,P23,EXIT,
2023-01-29T13:23:12Z,S1,P35,ENTER,
2023-01-29T13:23:12Z,S4,P29,ENTER,
2023-01-29T13:23:32Z,S3,P33,EXIT,
2023-01-29T13:23:32Z,S3,P34,ENTER,
2023-01-29T13:23:54Z,S2,P24,EXIT,
2023-01-29T13:23:54Z,S2,P27,ENTER,
2023-01-29T13:24:49Z,S1,P35,EXIT,
2023-01-29T13:24:57Z,S4,P29,EXIT,
2023-01-29T13:24:57Z,S1,P36,ENTER,
2023-01-29T13:24:57Z,S4,P30,ENTER,
2023-01-29T13:25:23Z,S2,P27,EXIT,
2023-01-29T13:25:23Z,S2,P31,ENTER,
2023-01-29T13:26:34Z,S4,P30,EXIT,
2023-01-29T13:26:34Z,S1,P37,ENTER,
2023-01-29T13:26:34Z,S4,P33,ENTER,
2023-01-29T13:27:07Z,S2,P31,EXIT,
2023-01-29T13:27:07Z,S2,P32,ENTER,
2023-01-29T13:27:15Z,S1,P37,EXIT,
2023-01-29T13:27:25Z,S1,P36,EXIT,
2023-01-29T13:27:35Z,S4,P33,EXIT,
2023-01-29T13:27:35Z,S1,P38,ENTER,
2023-01-29T13:27:35Z,S4,P24,ENTER,
2023-01-29T13:29:02Z,S1,P38,EXIT,
2023-01-29T13:29:03Z,S4,P24,EXIT,
2023-01-29T13:29:03Z,S1,P39,ENTER,
2023-01-29T13:29:03Z,S4,P27,ENTER,
2023-01-29T13:29:12Z,S3,P34,EXIT,
2023-01-29T13:29:12Z,S3,P37,ENTER,
2023-01-29T13:30:29Z,S4,P27,EXIT,
2023-01-29T13:30:29Z,S1,P40,ENTER,
2023-01-29T13:30:29Z,S4,P31,ENTER,
2023-01-29T13:30:44Z,S1,P39,EXIT,
2023-01-29T13:30:46Z,S2,P32,EXIT,
2023-01-29T13:30:46Z,S2,P35,ENTER,
2023-01-29T13:31:17Z,S2,P35,EXIT,
2023-01-29T13:31:17Z,S2,P36,ENTER,
2023-01-29T13:31:35Z,S4,P31,EXIT,
2023-01-29T13:31:35Z,S1,P41,ENTER,
2023-01-29T13:31:35Z,S4,P34,ENTER,
2023-01-29T13:31:44Z,S1,P40,EXIT,
2023-01-29T13:32:26Z,S4,P34,EXIT,
2023-01-29T13:32:26Z,S1,P42,ENTER,
2023-01-29T13:32:26Z,S4,P32,ENTER,
2023-01-29T13:33:00Z,S3,P37,EXIT,
2023-01-29T13:33:00Z,S1,P41,EXIT,
2023-01-29T13:33:05Z,S1,P42,EXIT,
2023-01-29T13:33:07Z,S2,P36,EXIT,
2023-01-29T13:33:07Z,S2,P38,ENTER,
2023-01-29T13:33:14Z,S3,P42,ENTER,
2023-01-29T13:33:19Z,S4,P32,EXIT,
2023-01-29T13:33:19Z,S1,P43,ENTER,
2023-01-29T13:33:19Z,S4,P35,ENTER,
2023-01-29T13:34:20Z,S3,P42,EXIT,
2023-01-29T13:34:32Z,S4,P35,EXIT,
2023-01-29T13:34:32Z,S1,P44,ENTER,
2023-01-29T13:34:32Z,S4,P37,ENTER,
2023-01-29T13:34:34Z,S1,P43,EXIT,
2023-01-29T13:34:45Z,S3,P43,ENTER,
2023-01-29T13:35:26Z,S2,P38,EXIT,
2023-01-29T13:35:26Z,S2,P39,ENTER,
2023-01-29T13:35:49Z,S4,P37,EXIT,
2023-01-29T13:35:49Z,S1,P45,ENTER,
2023-01-29T13:35:49Z,S4,P36,ENTER,
2023-01-29T13:36:37Z,S1,P45,EXIT,
2023-01-29T13:37:11Z,S4,P36,EXIT,
2023-01-29T13:37:11Z,S1,P46,ENTER,
2023-01-29T13:37:11Z,S4,P42,ENTER,
2023-01-29T13:37:29Z,S3,P43,EXIT,
2023-01-29T13:37:29Z,S3,P45,ENTER,
2023-01-29T13:37:50Z,S1,P44,EXIT,
2023-01-29T13:38:54Z,S4,P42,EXIT,
2023-01-29T13:38:54Z,S1,P47,ENTER,
2023-01-29T13:38:54Z,S4,P38,ENTER,
2023-01-29T13:39:05Z,S1,P46,EXIT,
2023-01-29T13:39:56Z,S2,P39,EXIT,
2023-01-29T13:39:56Z,S2,P40,ENTER,
2023-01-29T13:40:20Z,S4,P38,EXIT,
2023-01-29T13:40:20Z,S1,P48,ENTER,
2023-01-29T13:40:20Z,S4,P43,ENTER,
2023-01-29T13:40:34Z,S3,P45,EXIT,
2023-01-29T13:40:34Z,S3,P44,ENTER,
2023-01-29T13:41:00Z,S4,P43,EXIT,
2023-01-29T13:41:00Z,S4,P39,ENTER,
2023-01-29T13:41:12Z,S1,P47,EXIT,
2023-01-29T13:41:12Z,S1,P49,ENTER,
2023-01-29T13:41:58Z,S3,P44,EXIT,
2023-01-29T13:41:58Z,S3,P46,ENTER,
2023-01-29T13:42:23Z,S1,P48,EXIT,
2023-01-29T13:43:05Z,S1,P49,EXIT,
2023-01-29T13:43:06Z,S4,P39,EXIT,
2023-01-29T13:43:06Z,S1,P50,ENTER,
2023-01-29T13:43:06Z,S4,P45,ENTER,
2023-01-29T13:43:24Z,S3,P46,EXIT,
2023-01-29T13:43:24Z,S3,P48,ENTER,
2023-01-29T13:43:29Z,S2,P40,EXIT,
2023-01-29T13:43:29Z,S2,P41,ENTER,
2023-01-29T13:45:02Z,S4,P45,EXIT,
2023-01-29T13:45:02Z,S1,P51,ENTER,
2023-01-29T13:45:02Z,S4,P44,ENTER,
2023-01-29T13:45:37Z,S3,P48,EXIT,
2023-01-29T13:45:37Z,S3,P49,ENTER,
2023-01-29T13:45:51Z,S1,P51,EXIT,
2023-01-29T13:46:15Z,S1,P50,EXIT,
2023-01-29T13:46:22Z,S3,P49,EXIT,
2023-01-29T13:46:22Z,S3,P51,ENTER,
2023-01-29T13:46:49Z,S2,P41,EXIT,
2023-01-29T13:46:49Z,S2,P47,ENTER,
2023-01-29T13:47:06Z,S4,P44,EXIT,
2023-01-29T13:47:06Z,S1,P52,ENTER,
2023-01-29T13:47:06Z,S4,P46,ENTER,
2023-01-29T13:48:30Z,S1,P52,EXIT,
2023-01-29T13:49:27Z,S4,P46,EXIT,
2023-01-29T13:49:27Z,S1,P53,ENTER,
2023-01-29T13:49:27Z,S4,P40,ENTER,
2023-01-29T13:49:27Z,S3,P51,EXIT,
2023-01-29T13:49:27Z,S3,P52,ENTER,
2023-01-29T13:49:32Z,S2,P47,EXIT,
2023-01-29T13:49:32Z,S2,P50,ENTER,
2023-01-29T13:50:50Z,S4,P40,EXIT,
2023-01-29T13:50:50Z,S1,P54,ENTER,
2023-01-29T13:50:50Z,S4,P48,ENTER,
2023-01-29T13:51:06Z,S1,P53,EXIT,
2023-01-29T13:51:28Z,S2,P50,EXIT,
2023-01-29T13:51:28Z,S2,P53,ENTER,
2023-01-29T13:51:57Z,S3,P52,EXIT,
2023-01-29T13:52:12Z,S4,P48,EXIT,
2023-01-29T13:52:12Z,S1,P55,ENTER,
2023-01-29T13:52:12Z,S4,P49,ENTER,
2023-01-29T13:53:16Z,S1,P54,EXIT,
2023-01-29T13:53:21Z,S4,P49,EXIT,
2023-01-29T13:53:21Z,S1,P56,ENTER,
2023-01-29T13:53:21Z,S4,P41,ENTER,
2023-01-29T13:53:24Z,S3,P54,ENTER,
2023-01-29T13:54:21Z,S1,P56,EXIT,
2023-01-29T13:54:52Z,S1,P55,EXIT,
2023-01-29T13:55:13Z,S3,P54,EXIT,
2023-01-29T13:55:13Z,S3,P56,ENTER,
2023-01-29T13:55:21Z,S4,P41,EXIT,
2023-01-29T13:55:21Z,S1,P57,ENTER,
2023-01-29T13:55:21Z,S4,P51,ENTER,
2023-01-29T13:56:03Z,S4,P51,EXIT,
2023-01-29T13:56:03Z,S1,P58,ENTER,
2023-01-29T13:56:03Z,S4,P47,ENTER,
2023-01-29T13:57:02Z,S1,P57,EXIT,
2023-01-29T13:57:11Z,S3,P56,EXIT,
2023-01-29T13:57:11Z,S3,P55,ENTER,
2023-01-29T13:57:22Z,S4,P47,EXIT,
2023-01-29T13:57:22Z,S1,P59,ENTER,
2023-01-29T13:57:22Z,S4,P50,ENTER,
2023-01-29T13:57:58Z,S1,P58,EXIT,
2023-01-29T13:59:08Z,S4,P50,EXIT,
2023-01-29T13:59:08Z,S1,P60,ENTER,
2023-01-29T13:59:08Z,S4,P52,ENTER,
2023-01-29T13:59:26Z,S1,P59,EXIT,
2023-01-29T13:59:52Z,S2,P53,EXIT,
2023-01-29T14:00:26Z,S4,P52,EXIT,
2023-01-29T14:00:26Z,S1,P61,ENTER,
2023-01-29T14:00:26Z,S4,P54,ENTER,
2023-01-29T14:01:03Z,S3,P55,EXIT,
2023-01-29T14:01:03Z,S3,P57,ENTER,
2023-01-29T14:01:23Z,S1,P60,EXIT,
2023-01-29T14:01:28Z,S4,P54,EXIT,
2023-01-29T14:01:28Z,S1,P62,ENTER,
2023-01-29T14:01:28Z,S4,P56,ENTER,
2023-01-29T14:02:08Z,S3,P57,EXIT,
2023-01-29T14:02:08Z,S3,P58,ENTER,
2023-01-29T14:02:14Z,S4,P56,EXIT,
2023-01-29T14:02:14Z,S4,P53,ENTER,
2023-01-29T14:02:23Z,S1,P61,EXIT,
2023-01-29T14:02:23Z,S1,P63,ENTER,
2023-01-29T14:02:34Z,S2,P61,ENTER,
2023-01-29T14:03:24Z,S3,P58,EXIT,
2023-01-29T14:03:24Z,S3,P59,ENTER,
2023-01-29T14:03:30Z,S1,P62,EXIT,
2023-01-29T14:03:51Z,S1,P63,EXIT,
2023-01-29T14:05:11Z,S3,P59,EXIT,
2023-01-29T14:05:11Z,S3,P60,ENTER,
2023-01-29T14:05:55Z,S4,P53,EXIT,
2023-01-29T14:05:55Z,S1,P64,ENTER,
2023-01-29T14:05:55Z,S4,P55,ENTER,
2023-01-29T14:06:36Z,S2,P61,EXIT,
2023-01-29T14:07:04Z,S1,P64,EXIT,
2023-01-29T14:07:14Z,S3,P60,EXIT,
2023-01-29T14:07:14Z,S3,P62,ENTER,
2023-01-29T14:07:14Z,S2,P64,ENTER,
2023-01-29T14:07:36Z,S4,P55,EXIT,
2023-01-29T14:07:36Z,S1,P65,ENTER,
2023-01-29T14:07:36Z,S4,P57,ENTER,
2023-01-29T14:08:39Z,S2,P64,EXIT,
2023-01-29T14:08:51Z,S4,P57,EXIT,
2023-01-29T14:08:51Z,S1,P66,ENTER,
2023-01-29T14:08:51Z,S4,P58,ENTER,
2023-01-29T14:09:57Z,S1,P65,EXIT,
2023-01-29T14:10:08Z,S3,P62,EXIT,
2023-01-29T14:10:08Z,S3,P63,ENTER,
2023-01-29T14:10:16Z,S4,P58,EXIT,
2023-01-29T14:10:16Z,S1,P67,ENTER,
2023-01-29T14:10:16Z,S4,P59,ENTER,
2023-01-29T14:11:37Z,S1,P66,EXIT,
2023-01-29T14:12:30Z,S1,P67,EXIT,
2023-01-29T14:12:55Z,S4,P59,EXIT,
2023-01-29T14:12:55Z,S1,P68,ENTER,
2023-01-29T14:12:55Z,S4,P61,ENTER,
2023-01-29T14:13:11Z,S3,P63,EXIT,
2023-01-29T14:13:11Z,S3,P65,ENTER,
2023-01-29T14:14:16Z,S4,P61,EXIT,
2023-01-29T14:14:16Z,S1,P69,ENTER,
2023-01-29T14:14:16Z,S4,P60,ENTER,
2023-01-29T14:14:25Z,S3,P65,EXIT,
2023-01-29T14:14:25Z,S3,P66,ENTER,
2023-01-29T14:14:50Z,S1,P68,EXIT,
2023-01-29T14:15:27Z,S3,P66,EXIT,
2023-01-29T14:15:27Z,S3,P67,ENTER,
2023-01-29T14:15:35Z,S1,P69,EXIT,
2023-01-29T14:15:59Z,S4,P60,EXIT,
2023-01-29T14:15:59Z,S1,P70,ENTER,
2023-01-29T14:15:59Z,S4,P64,ENTER,
2023-01-29T14:17:05Z,S4,P64,EXIT,
2023-01-29T14:17:05Z,S1,P71,ENTER,
2023-01-29T14:17:05Z,S4,P62,ENTER,
2023-01-29T14:18:03Z,S1,P70,EXIT,
2023-01-29T14:18:09Z,S4,P62,EXIT,
2023-01-29T14:18:09Z,S1,P72,ENTER,
2023-01-29T14:18:09Z,S4,P63,ENTER,
2023-01-29T14:18:14Z,S2,P70,ENTER,
2023-01-29T14:18:26Z,S1,P71,EXIT,
2023-01-29T14:19:03Z,S4,P63,EXIT,
2023-01-29T14:19:03Z,S1,P73,ENTER,
2023-01-29T14:19:03Z,S4,P65,ENTER,
2023-01-29T14:19:26Z,S3,P67,EXIT,
2023-01-29T14:19:26Z,S3,P68,ENTER,
2023-01-29T14:19:27Z,S1,P72,EXIT,
2023-01-29T14:20:09Z,S2,P70,EXIT,
2023-01-29T14:20:09Z,S2,P71,ENTER,
2023-01-29T14:20:21Z,S4,P65,EXIT,
2023-01-29T14:20:21Z,S1,P74,ENTER,
2023-01-29T14:20:21Z,S4,P66,ENTER,
2023-01-29T14:21:03Z,S1,P73,EXIT,
2023-01-29T14:21:13Z,S4,P66,EXIT,
2023-01-29T14:21:13Z,S1,P75,ENTER,
2023-01-29T14:21:13Z,S4,P67,ENTER,
2023-01-29T14:22:26Z,S1,P75,EXIT,
2023-01-29T14:22:41Z,S4,P67,EXIT,
2023-01-29T14:22:41Z,S1,P76,ENTER,
2023-01-29T14:22:41Z,S4,P70,ENTER,
2023-01-29T14:22:45Z,S1,P74,EXIT,
2023-01-29T14:23:46Z,S3,P68,EXIT,
2023-01-29T14:23:46Z,S3,P69,ENTER,
2023-01-29T14:23:46Z,S1,P76,EXIT,
2023-01-29T14:24:48Z,S2,P71,EXIT,
2023-01-29T14:24:48Z,S2,P74,ENTER,
2023-01-29T14:26:14Z,S4,P70,EXIT,
2023-01-29T14:26:14Z,S1,P77,ENTER,
2023-01-29T14:26:14Z,S4,P68,ENTER,
2023-01-29T14:26:56Z,S2,P74,EXIT,
2023-01-29T14:27:09Z,S3,P69,EXIT,
